Sentence,Verb_index,Verb,Verb_lemma,Prefix,Stem,Subject,Preposition,Object,Object_case,Object_lemma,Unified_preposition,Motion_type,
"Доводимо до Вашого відома, що на території Тростянецького району функціонує спостережна комісія при Тростянецькій районній державній адміністрації, яку очолює перший заступник голови районної державної адміністрації Павло Петрович Роженко.",0,Доводимо,доводити,до,води́ти,,до,відома,Gen,відомий,До,metaphorical,
"До розширеної чотиригодинної версії увійшли фрагменти, які не були показані на великих екранах, але яскраво розкривають різні сторони особистості снайпера Павличенко та молодої дівчини Людмили.",4,увійшли,увійти,в,іти́/йти́,фрагменти,до,версії,Gen,версія,До,metaphorical,
"Починаючи з XV століття, в Піднебесній входить в моду стиль «уцай», який використовує п'ять основних тонів - жовтий, червоний, синій, білий і зелений.",6,входить,входити,в,ходи́ти,стиль,в,моду,Acc,мода,В,metaphorical,
"Becherovka Lemond - трав'яна лікерна настоянка зі зниженою фортецею (19), до складу якої увійшли десять компонентів класичної ""Becherovka Original"", доповнені цитрусовими і екстрактом цейлонського чаю.",13,увійшли,увійти,в,іти́/йти́,компонентів,до,складу,Gen,склад,До,metaphorical,
"Хоча ти вчасно приїхав у аеропорт, рейс затримали.",3,приїхав,приїхати,при,ї́хати,ти,у,аеропорт,Acc,аеропорт,В,literal,
"Як пояснив Олег Прутенко, до цього переліку увійдуть посередники, які надають послуги з працевлаштування в Україні, поза її межами, а також наймають працівників для подальшого виконання ними роботи в Україні в іншого роботодавця (аутсорсинг).",7,увійдуть,увійти,в,іти́/йти́,посередники,до,переліку,Gen,перелік,До,metaphorical,
"Це зрозуміти всім давно пора, бо ми прийшли у світ добро творити.",7,прийшли,прийти,при,іти́/йти́,ми,у,світ,Acc,світ,В,metaphorical,
"Реформа місцевого самоврядування пробуксовує, в тому числі, через відсутність у мешканців громад, що об’єднуються, впевненості у тому, що вони зможуть якось впливати на стан справ в об’єднаній громаді.",21,впливати,впливати,в,пла́вати,,на,стан,Acc,стан,На,metaphorical,another meaning
З 1918 входив до складу Комісії з охорони пам'яток мистецтва та старовини Троїце-Сергієвої Лаври.,2,входив,входити,в,ходи́ти,,до,складу,Gen,склад,До,metaphorical,
Приспособленность до сезонної зміни тривалості світлового дня привела до появи длиннодневних і короткодневних рослин.,7,привела,привести,при,вести́,Приспособленность,до,появи,Gen,поява,До,metaphorical,
"У Івана Івановича досить дивне, подвійне прізвище — Чимша-Гімалайський, яке зосіш не личило йому, і його по всій губернії звали просто на ім´я та по батькові; він жив біля міста на кінному заводі і приїхав тепер на полювання, щоб подихати чистим повітрям.",34,приїхав,приїхати,при,ї́хати,,на,полювання,Acc,полювання,На,literal,
"Наголосив, що до складу комітету входять лікарі (мед. служби, мед. експертизи, психіатри), які мають право на фотозйомки фізичних пошкоджень.",5,входять,входити,в,ходи́ти,лікарі,до,складу,Gen,склад,До,metaphorical,
На концерт прийшло дуже багато людей.,2,прийшло,прийти,при,іти́/йти́,людей,на,концерт,Acc,концерт,На,literal,
"Депутат ВР від БЮТ Гарегін Арутюнов: ""…Я виходив сьогодні до людей, що прийшли з плакатами, на яких написане моє прізвище.",7,виходив,виходити,ви,ходи́ти,Я,до,людей,Gen,людина,До,literal,
"Зрідка зустрічаються такі, для яких подібне проводження часу стає звичкою, що дуже швидко зводить їх у могилу.",13,зводить,зводити,з,води́ти,,у,могилу,Acc,могила,В,metaphorical,
"В наш край його привело щире бажання дослідити свій родовід, відвідати батьківщину діда Лейбіша Ейдема.",4,привело,привести,при,вести́,бажання,в,край,Acc,край,В,metaphorical,
"Нехай прийде до нас Слово з безмовності, зустрівши безмовність в нас, яка очікує Його, наче ясла.",1,прийде,прийти,при,іти́/йти́,Слово,до,нас,Gen,ми,До,metaphorical,
"Ультрафіолет негативно впливає на органи зору і може призвести до передчасного розвитку катаракти, тому в лінзи була включена можливість фільтрації УФ-променів.",2,впливає,впливати,в,пла́вати,Ультрафіолет,на,органи,Acc,орган,На,metaphorical,another meaning
"Сподіваємося, скоро озвучені цікаві ідеї увійдуть у наше студентське життя.",5,увійдуть,увійти,в,іти́/йти́,ідеї,у,життя,Acc,життя,В,metaphorical,
"А якщо ваш будинок розташований біля автостради, то цей шум походить від проїжджаючих автомобілів, і тільки після того, як шум потрапив у повітря, він впливає на стіни, вікна та перекриття будинку.",24,впливає,впливати,в,пла́вати,він,на,стіни,Acc,стіна,На,metaphorical,another meaning
"Але підприємство MicrobEnergy, що входить у Групу Viessmann, розробило і застосувало на об’єкті в Аллендорфі біологічний метод.",4,входить,входити,в,ходи́ти,,у,Групу,Acc,група,В,metaphorical,
"Одного разу до нього привели сліпого, який вже бував у багатьох лікарів, але ніхто не зміг його вилікувати.",4,привели,привести,при,вести́,,до,нього,Gen,він,До,literal,
Сьогодні дівчина живе в реабілітаційному центрі і не виходить на зв’язок.,8,виходить,виходити,ви,ходи́ти,,на,зв’язок,Acc,зв’язок,На,metaphorical,
"На це істотно впливають кораблі, що забруднюють акваторію моря.",3,впливають,впливати,в,пла́вати,кораблі,на,це,Acc,це,На,metaphorical,another meaning
"За умови своєчасного обслуговування, до якого входять і планові капремонти.",6,входять,входити,в,ходи́ти,капремонти,до,якого,Gen,який,До,metaphorical,
Тому треба підходити до цього обережно.,2,підходити,підходити,під,ходи́ти,,до,цього,Gen,це,До,metaphorical,
"Він не прийшов на все готове на будинок, храм, як дехто ( Петро) і тепер тільки, як страус голову в пісок і боїться щось навіть Воінській сказати.",2,прийшов,прийти,при,іти́/йти́,Він,на,будинок,Acc,будинок,На,metaphorical,
"Серед надмірної різноманітності національностей, що входили до складу Римської імперії, вже давно виявилося тяжіння до двох культурних типів - латинському і грецькому; до першого тяжів Захід, до другого Схід.",5,входили,входити,в,ходи́ти,,до,складу,Gen,склад,До,metaphorical,
"“Скоро в школу” Наближається той день, коли ваш малюк вперше увійде в шкільний клас.",10,увійде,увійти,в,іти́/йти́,малюк,в,клас,Acc,клас,В,literal,
"Спочатку цей процес відбувається непомітно, але тільки до тих пір, поки клітини не почнуть негативно впливати на працездатність внутрішніх органів.",15,впливати,впливати,в,пла́вати,,на,працездатність,Acc,працездатність,На,metaphorical,another meaning
"Важливо відмітити, що нова редакція Регламенту АЦСК ІДД Міндоходів набуде чинності з 22 серпня 2014 року, після чого інформаційне наповнення ресурсу буде приведено у відповідність до чинного Регламенту АЦСК ІДД Міндоходів.",22,приведено,привести,при,вести́,наповнення,у,відповідність,Acc,відповідність,В,metaphorical,
"Якщо довірити транспортувати будівельний мотлох некомпетентним в сфері клінінгу працівникам, то це може привести до досить сумних наслідків.",13,привести,привести,при,вести́,,до,наслідків,Gen,наслідок,До,metaphorical,
"До заходу сонця маємо зійти на хребет, знайти вихід вниз і спуститися на полонину Верхня Зелениця, де плануємо ночівлю.",4,зійти,зійти,з,іти́/йти́,,на,хребет,Acc,хребет,На,literal,
"Приносьте до намету гречану кашу, ми її відправимо в АТО!",0,Приносьте,приносити,при,носи́ти,,до,намету,Gen,намет,До,literal,
"Тож Чуби привезли в Україну такий корисний винахід, як робот-підгортач кормів Butler Gold від сімейної австрійської фірми Wasserbauer.",2,привезли,привезти,при,везти́,Чуби,в,Україну,Acc,україна,В,literal,
"До складу готелю входить ресторан “Росава” І класу на 360 місць, який пропонує якісні та різноманітні страви, живу музику ввечері.",3,входить,входити,в,ходи́ти,ресторан,до,складу,Gen,склад,До,metaphorical,
"Проблема у трускавецькому водоканалі виникла безпосередньо в першій половині 2015 року, водоканал свідомо доводили до банкрутства, але, на щастя, у Трускавці змінилася влада і краху підприємства вдалося уникнути.",13,доводили,доводити,до,води́ти,водоканал,до,банкрутства,Gen,банкрутство,До,metaphorical,
Остаточний варіант документа винесуть на затвердження комунікаційного комітету.,3,винесуть,винести,ви,нести́,варіант,на,затвердження,Acc,затвердження,На,metaphorical,
"Ми допомагаємо вводити в експлуатацію об’єкти, що розташовані в будь-яких регіонах України.",2,вводити,вводити,в,води́ти,,в,експлуатацію,Acc,експлуатація,В,metaphorical,
"Негативно на ефективність впливають і рясні дощі, які загрожують вимиванням препарату з верхнього шару ґрунту.",3,впливають,впливати,в,пла́вати,дощі,на,ефективність,Acc,ефективність,На,metaphorical,another meaning
"Сатурн також символізує час, тому що він доводить до кінця все, що має початок.",7,доводить,доводити,до,води́ти,він,до,кінця,Gen,кінець,До,metaphorical,
"До складу журі олімпіади увійшли видатні українські митці, вокалісти зі світовим ім'ям.",4,увійшли,увійти,в,іти́/йти́,митці,до,складу,Gen,склад,До,metaphorical,
"До довгого списку премії Книга року ВВС–2014 увійшли 22 видання, серед яких книга Еви Гати """,7,увійшли,увійти,в,іти́/йти́,видання,до,списку,Gen,список,До,metaphorical,
"Нові стандарти освіти Українського католицького університету дозволяють навчити ціннісно орієнтованих правників, які впливатимуть на подальший розвиток юридичної сфери в Україні.",12,впливатимуть,впливати,в,пла́вати,які,на,розвиток,Acc,розвиток,На,metaphorical,another meaning
"В зоряний акторський склад фільму Скотта Купера також увійшли Бенедикт Камбербетч, Джоел Еджертон, Гай Пірс та Кевін Бейкон.",8,увійшли,увійти,в,іти́/йти́,Бенедикт,в,склад,Acc,склад,В,metaphorical,
"Я думаю, що кожен людина приходить у світ з цією місією, адже в кожному закладено це велике призначення.",5,приходить,приходити,при,ходи́ти,людина,у,світ,Acc,світ,В,metaphorical,
"Треба лише ввести необхідні дані у спеціальне поле, виставити параметри роботи та активувати процес.",2,ввести,ввести,в,вести́,,у,поле,Acc,поле,В,metaphorical,
Кожен день прилітає до нього орел і клює його печінку.,2,прилітає,прилітати,при,літа́ти,орел,до,нього,Gen,він,До,literal,
Ми вийшли на Майдан.,1,вийшли,вийти,ви,іти́/йти́,Ми,на,Майдан,Acc,майдан,На,literal,
До неї входять представники понад 30 країн.,2,входять,входити,в,ходи́ти,представники,до,неї,Gen,вона,До,metaphorical,
"Іванчук із 3,5 очками посів перше місце у групі “В” і вийшов до півфіналу разом із французом Етьєном Бакро (3 очки).",11,вийшов,вийти,ви,іти́/йти́,,до,півфіналу,Gen,півфінал,До,metaphorical,
"Для того, щоб підключитись до FTP через програму Total Commander, зайдіть у меню ""Мережа"" -> ""З'єднатись з FTP-сервером"" (або комбінацією клавіш Ctrl + F).",10,зайдіть,зайти,за,іти́/йти́,,у,меню,Acc,меню,В,metaphorical,
"Видавництво Vivat, яке входить до Групи компаній «Фактор», підбило підсумки участі у 25 BookForum – головному книжковому фестивалі країни.",3,входить,входити,в,ходи́ти,яке,до,Групи,Gen,група,До,metaphorical,
"До видання також увійшли оповідання «Блідий вояк», «Постійний пацієнт», «Звіздочолий», «Шляхетний парубок» та інші.",3,увійшли,увійти,в,іти́/йти́,оповідання,до,видання,Gen,видання,До,metaphorical,
"В. До числа відношень диференціюючого складання відносимо також розділові відношення, що передають сутність варіантного характеру дій, подій.",6,відносимо,відносити,від,носи́ти,В,до,числа,Gen,число,До,metaphorical,
"Учасники віча вимагали від керівництва райдержадміністрації оприлюднити свою позицію щодо подій, які відбуваються в державі і заявити про свою підтримку народу України, але керівництво райдержадміністрації так і не наважилось вийти до людей.",29,вийти,вийти,ви,іти́/йти́,,до,людей,Gen,людина,До,literal,
Необхідно звести до мінімуму споживання надмірно жирних та гострих продуктів.,1,звести,звести,з,вести́,,до,мінімуму,Gen,мінімум,До,metaphorical,
"Вивести «Ференцварош» на новий рівень не вдається навіть знаменитому Томасу Долю, який очолює команду з 2013 року.",0,Вивести,вивести,ви,вести́,,на,рівень,Acc,рівень,На,metaphorical,
"Ось ми і підійшли до розгляду характеристик різних теплоізоляційних матеріалів, а коли вже мова зайшла про мінеральну вату, то давайте більш докладно вивчимо її властивості.",3,підійшли,підійти,під,іти́/йти́,ми,до,розгляду,Gen,розгляд,До,metaphorical,
У 1995–2008 рр. за результатами університетського конкурсу вона постійно входила до першої десятки кращих кафедр.,9,входила,входити,в,ходи́ти,вона,до,десятки,Gen,десяток,До,metaphorical,
"Зима надає характеру незворушність і строгість, такі жінки докладно підходять до всіх справ, домагаючись всього самостійно.",9,підходять,підходити,під,ходи́ти,жінки,до,справ,Gen,справа,До,metaphorical,
"Якщо до нас не прийдуть інвестиції, то ніякий валютний фонд не допоможе.",4,прийдуть,прийти,при,іти́/йти́,інвестиції,до,нас,Gen,ми,До,metaphorical,
"Вона шукала вікна — вилетіти у вікно, у дощ, у ніч.",4,вилетіти,вилетіти,ви,летíти,,у,вікно,Acc,вікно,В,literal,
"Впливають на неї тільки ті зовнішні умови, з якими вона вступає в активний зв'язок.",0,Впливають,впливати,в,пла́вати,умови,на,неї,Acc,вона,На,metaphorical,another meaning
"Але у 1762 році в Росії до влади приходить Катерина ІІ, яка вирішує, що Кониський може прислужитися їй саме в Речі Посполитій.",8,приходить,приходити,при,ходи́ти,Катерина,до,влади,Gen,влада,До,metaphorical,
"Ця назва може бути вказівкою, до яких місць доходив європейський мандрівник і до якої нації він належав».",8,доходив,доходити,до,ходи́ти,мандрівник,до,місць,Gen,місце,До,literal,
"Ввійшовши в майстерню, ""Попка"", як розказувала нам відома в ті часи натурниця Ольга Іванівна, підходив до неї, коли вона позувала гола, й радо тихенько плескав її по сиднях, примовляючи своє ""старайтесь, батенька, старайтесь!"".",14,підходив,підходити,під,ходи́ти,Попка,до,неї,Gen,вона,До,literal,
"У комплект входить панель з 5 чорнилами наступних кольорів: рожевий, синій, зелений, жовтий і оранжевий, завдяки яким дитина може прикрашати тварин візерунками з кольорових відбитків пальців.",2,входить,входити,в,ходи́ти,панель,у,комплект,Acc,комплект,В,metaphorical,
"Кожен її сорт відрізняється за формою листя і цілої рослини, кольором і розміром квітів, що дає змогу розгулятись фантазії і обрати те, що сподобається і найбільше підійде до інтер’єру, або ж зібрати в себе цілу колекцію.",26,підійде,підійти,під,іти́/йти́,,до,інтер’єру,Gen,інтер’єр,До,metaphorical,
"За рeзультатами двох відбіркових змагань (у м. Ужгород і с.Мирогоща) сформувався приблизний склад національноі збірної, до складу якої увійшли спортсмeни з трьох областeй: Сумської, Вінницької і Хмeльницької.",18,увійшли,увійти,в,іти́/йти́,спортсмeни,до,складу,Gen,склад,До,metaphorical,
"Тому виконавці робіт також повинні ретельно ставитися до завершення усіх робіт на об’єкті, зокрема, привести до належного стану обочини та підрізати дерева, щоб забезпечити нормальну видимість для учасників дорожнього руху».",14,привести,привести,при,вести́,,до,стану,Gen,стан,До,metaphorical,
"Через деякий час ви зрозумієте, що вода забрала всі негативні почуття і емоції, з якими ви прийшли до неї.",16,прийшли,прийти,при,іти́/йти́,ви,до,неї,Gen,вона,До,literal,
"Розробка входить в число дослідних проектів, що фінансуються найбільшою у світі приватною благодійною організацією – фондом Bill & Melinda Gates Foundation.",1,входить,входити,в,ходи́ти,Розробка,в,число,Acc,число,В,metaphorical,
"На звуки, що відчуває той, кого перевіряють, впливають темперамент, загальний тонус, параметри обох типів тиску, та інше.",7,впливають,впливати,в,пла́вати,,на,звуки,Acc,звук,На,metaphorical,another meaning
"Помітив, що дійшов до такого етапу, коли все починало повторюватись: відпустив одного клієнта — берешся за іншого, а насправді ніби просто заходиш на новий цикл.",21,заходиш,заходити,за,ходи́ти,,на,цикл,Acc,цикл,На,metaphorical,
Тому що я прийшов в цей світ в дуже рокові хвилини.,3,прийшов,прийти,при,іти́/йти́,я,в,хвилини,Acc,хвилина,В,metaphorical,
"Зустріли хлопців, що приїхали на один день, посиділи в майстерні шоколаду, потім у зоо-кафе з цілою купою котів, і далі пішли посидіти із львівськими хлопаками з GWU.",3,приїхали,приїхати,при,ї́хати,,на,день,Acc,день,На,literal,
"Робота менеджерів контролюється та оцінюється тільки в межах встановлених для них статей витрат, на які можуть впливати управлінські рішення, що приймаються ними.",16,впливати,впливати,в,пла́вати,,на,які,Acc,який,На,metaphorical,another meaning
"Амінокислоти, що також входять до хімічного складу хмелю, активують процеси оновлення клітин та стимулюють вироблення колагену.",3,входять,входити,в,ходи́ти,,до,складу,Gen,склад,До,metaphorical,
Печінкова та ниркова недостатність від легкого до помірного ступеня суттєво не впливають на фармакокінетику мелоксикаму.,11,впливають,впливати,в,пла́вати,недостатність,на,фармакокінетику,Acc,фармакокінетика,На,metaphorical,another meaning
"У зв’язку з цим лікарі рекомендують кілька разів на рік приходити на огляд до гінеколога, щоб він проводив візуальне обстеження слизової оболонки піхви.",10,приходити,приходити,при,ходи́ти,,на,огляд,Acc,огляд,На,literal,
"Окремі проектні рішення, обґрунтування безпеки яких в ПЗАБ виконані в стислому обсязі, будуть деталізовані на наступній стадії проектування, а тому не впливають на можливість погодження проекту ЦСВЯП.",21,впливають,впливати,в,пла́вати,,на,можливість,Acc,можливість,На,metaphorical,another meaning
"Хай ніхто з вас не піддається обманові марних слів, бо через це Божий гнів приходить на неслухняних синів.",14,приходить,приходити,при,ходи́ти,гнів,на,синів,Acc,син,На,metaphorical,
"До складу Холмської губернії ввійшли ті землі, на яких більшість становило українське населення.",4,ввійшли,ввійти,в,іти́/йти́,землі,до,складу,Gen,склад,До,metaphorical,
"Прийшов Іван до царя, потребував дівку і половину царства.",0,Прийшов,прийти,при,іти́/йти́,Іван,до,царя,Gen,царя,До,literal,
"Ми самі зараз шукаємо оптимальні шляхи, як запропонувати це кінцевому споживачу так, щоб і йому було цікаво і компанія хоча б вийшла на нуль, додав Олександр Астраханцев.",21,вийшла,вийти,ви,іти́/йти́,компанія,на,нуль,Acc,нуль,На,metaphorical,
Їх імена назавжди буде внесено до списку «Золотого фонду» Чутівської школи.,4,внесено,внести,в,нести́,,до,списку,Gen,список,До,metaphorical,
"І я переконаний, що Божа сила, яка, за словами апостола Павла, проявляється у наших немощах, є тією силою Воскреслого, який підносить нас до нового життя.",20,підносить,підносити,під,носи́ти,який,до,життя,Gen,життя,До,metaphorical,
"Пропонуєте заїхати в центр, сісти на трамвай №6 а потім пересісти на 2А допустимо до мотозаводу?",1,заїхати,заїхати,за,ї́хати,,в,центр,Acc,центр,В,literal,
"Учені прийшли до висновку, що формування усного мовлення починається тоді, коли рух пальців досягає достатньої точності.",1,прийшли,прийти,при,іти́/йти́,Учені,до,висновку,Gen,висновок,До,metaphorical,
"Нехай Свято принесе у Ваші домівки радість та благополуччя, щастя та міцне здоров’я, наповнить серця ваші добром та милосердям.",2,принесе,принести,при,нести́,,у,домівки,Acc,домівка,В,literal,
"Центральна влада не має права тиском впливати на місцеву владу», – пояснив Вадим Олійник.",6,впливати,впливати,в,пла́вати,,на,владу,Acc,влада,На,metaphorical,another meaning
"За його запрошенням, Маккартні, прийшов на концерт групи.",4,прийшов,прийти,при,іти́/йти́,,на,концерт,Acc,концерт,На,literal,
"В п’ятницю, 11 листопада 2011 року, в Київ на відкриття Української Медіа Школи (УМШ) приїде провідний міжнародний тренер в медіаіндустрії Аннет Айріс, автор книги «Управління медіакомпанією.",14,приїде,приїхати,при,ї́хати,тренер,на,відкриття,Acc,відкриття,На,literal,
"Так, дійсно, у той час альтернативи цьому додатку не було, проте з появою таких потужних утиліт, як WinRAR і 7-Zip, основна програма відійшла на друге місце, оскільки архіви такого формату можна було створити і розпакувати за допомогою нових засобів.",22,відійшла,відійти,від,іти́/йти́,програма,на,місце,Acc,місце,На,metaphorical,
"І.П. Павлов своїми дослідженнями довів, що механічне подразнення слизової оболонки шлунка не приводить до виділення шлункового соку, у той час як при уявному годуванні він виділяється у великій кількості.",12,приводить,приводити,при,води́ти,подразнення,до,виділення,Gen,виділення,До,metaphorical,
"Втім, живучість таких поглядів мене не дивує: гадаю, сучасних дослідників увели в оману пізніші, з XVII ст. свідчення, що великою мірою використовували київське минуле.",10,увели,увести,в,вести́,свідчення,в,оману,Acc,омана,В,metaphorical,
Восени прийдуть до нас большевики.,1,прийдуть,прийти,при,іти́/йти́,большевики,до,нас,Gen,ми,До,literal,
"Масло рослини впливає на печінку людини, виводить з неї токсини, перешкоджає всмоктуванню з прийнятої їжі нових небезпечних речовин.",2,впливає,впливати,в,пла́вати,Масло,на,печінку,Acc,печінка,На,metaphorical,another meaning
"Оформлення операції з нерухомістю вимагає обережності, оскільки помилка при угоді може привести до значних фінансових втрат для клієнта.",11,привести,привести,при,вести́,,до,втрат,Gen,втрата,До,metaphorical,another meaning
"Наступного дня 2 лютого молодих знову вводили у храм, де остаточно проголошувалося створення нової родини.",6,вводили,вводити,в,води́ти,,у,храм,Acc,храм,В,literal,
"Вони мають здатність благодатно впливати на все, до чого торкаються: для врожаю їх закопують у землю, підкурюють хворих.",4,впливати,впливати,в,пла́вати,,на,все,Acc,все,На,metaphorical,another meaning
"Вистачить і склянки гарячої води, щоб настій вийшов густим і терпким на смак.",7,вийшов,вийти,ви,іти́/йти́,настій,на,смак,Acc,смак,На,metaphorical,
"До складу паперу входять світлостійкі пігменти, які забезпечують йому високі довговічність та стійкість до впливу сонячних променів.",3,входять,входити,в,ходи́ти,пігменти,до,складу,Gen,склад,До,metaphorical,
З метою зниження фіскального тиску на інновації як найбільш перспективні інвестиції держава дозволяла частину витрат на НДДКР віднести до валових витрат підприємства.,17,віднести,віднести,від,нести́,,до,витрат,Gen,витрата,До,metaphorical,
"Ще одна особливість села – воно центр сільської громади, в яку входить лише одне село.",11,входить,входити,в,ходи́ти,село,в,яку,Acc,який,В,metaphorical,
"Не старайтесь одразу купити речі, відкладіть їх та зайдіть в інших магазин.",8,зайдіть,зайти,за,іти́/йти́,,в,магазин,Acc,магазин,В,literal,
"Що стосується змін у сфері нерухомості, то власник земельної ділянки в разі його оренди може внести в реєстр вимогу (галочку), що всі договори, які укладаються ним, повинні бути нотаріально посвідчені.",15,внести,внести,в,нести́,,в,реєстр,Acc,реєстр,В,metaphorical,
"Мабуть, пасажири й команда потонули, бо на берег цього острова винесло одну корабельну дошку, за яку міцно трималася дівчина.",10,винесло,винести,ви,нести́,,на,берег,Acc,берег,На,literal,
На практиці визначення потреб у соціальних послугах зведено до визначення кількості отримувачів послуг (потенційних та фактичних).,7,зведено,звести,з,вести́,,до,визначення,Gen,визначення,До,metaphorical,
ВИРІШИЛИ: Винести на розгляд сесії районної ради проект рішення «Про затвердження Програми підтримки обдарованої учнівської молоді Сокальського району на 2019 рік.»,1,Винести,винести,ви,нести́,,на,розгляд,Acc,розгляд,На,metaphorical,
"До комплекту SB-700 входить система колірного фільтру, яку легко закріпити без клею, липучок і клейкої стрічки.",3,входить,входити,в,ходи́ти,система,до,комплекту,Gen,комплект,До,metaphorical,
"Мікроклімат кухні впливає і на інші поверхні, а неякісні або невідповідний матеріал шпалери буде тільки погіршувати ситуацію.",2,впливає,впливати,в,пла́вати,Мікроклімат,на,поверхні,Acc,поверхня,На,metaphorical,another meaning
"Препарат швидко всмоктується при застосуванні внутрішньо, прийом їжі не впливає на ступінь усмоктування, але знижує його швидкість.",9,впливає,впливати,в,пла́вати,прийом,на,ступінь,Acc,ступінь,На,metaphorical,another meaning
"Цукровий компонент розтопити в мікрохвильовці, але не доводите до кипіння.",7,доводите,доводити,до,води́ти,,до,кипіння,Gen,кипіння,До,metaphorical,
Юні українські вчені увійшли до числа 15 фіналістів Google Science FairОлексій Козлов та Мілена Клименко стали фіналістами Google Science Fair у віковій категорії «13-14.,3,увійшли,увійти,в,іти́/йти́,,до,числа,Gen,число,До,metaphorical,
Всі ці чинники привели до величезного руйнування в матеріалістичному світі і до вельми реального розширення людської свідомості.,3,привели,привести,при,вести́,чинники,до,руйнування,Gen,руйнування,До,metaphorical,
"Ізраїльтяни, зокрема, журналісти, мають намір приїхати на Львівщину ще до відкриття авіарейсу Львів-Тель-Авів.",5,приїхати,приїхати,при,ї́хати,,до,відкриття,Gen,відкриття,До,literal,
Студенти Львівського Національного Університету імені Івана Франка вийшли на акцію протесту біля головного корпусу вишу.,7,вийшли,вийти,ви,іти́/йти́,Студенти,на,акцію,Acc,акція,На,literal,
"ТОВ «Агро Кім» вже у червні планує розпочати перевезення першої черги свинарника з Кукшина до Галиці з тим, щоб до зими вже завезти свиноматок.",22,завезти,завезти,за,везти́,,до,зими,Gen,зима,До,literal,
"Для ефективного програмування слід вміти користуватися ними, а найголовніше – вміти вибирати правильні засоби, ті, які найкраще підходять до поставленої задачі.",17,підходять,підходити,під,ходи́ти,які,до,задачі,Gen,задача,До,metaphorical,
"Аби ввести місцевих в оману, ми влаштовували «паради».",1,ввести,ввести,в,вести́,,в,оману,Acc,омана,В,metaphorical,
До таких висновків прийшла команда Центру громадського контролю «ДІЙ!»,3,прийшла,прийти,при,іти́/йти́,команда,до,висновків,Gen,висновок,До,metaphorical,
На старт нової першості Екстра-ліги зразка 2015-2016 років вийдуть одразу дев’ять українських клубів.,8,вийдуть,вийти,ви,іти́/йти́,клубів,на,старт,Acc,старт,На,literal,
"ЮБ «Єгоров, Пугінскій, Афанасьєв і партнери» Україна знову увійшло до сотні найкращих юридичних фірм у сфері міжнародного арбітражу провідного світового видання Global Arbitration Review (GAR 100).",8,увійшло,увійти,в,іти́/йти́,Україна,до,сотні,Gen,сотня,До,metaphorical,
Цього року св. Миколай з Парафії св. Йоана Павла ІІ радісно приходив до дітей і дорослих.,11,приходив,приходити,при,ходи́ти,св,до,дітей,Gen,дитина,До,literal,
Як нам вийти на шлях соціального прогресу?,2,вийти,вийти,ви,іти́/йти́,,на,шлях,Acc,шлях,На,metaphorical,
Які базові речі входять у ваш повсякденний образ?,3,входять,входити,в,ходи́ти,речі,у,образ,Acc,образ,В,metaphorical,
"А може перед нами — онкопацієнт, який звик підходити до будь-якої проблеми практично.",8,підходити,підходити,під,ходи́ти,,до,проблеми,Gen,проблема,До,metaphorical,
"Саме тому довідка про несудимість входить в пакет документів, що надаються в більшості випадків.",5,входить,входити,в,ходи́ти,довідка,в,пакет,Acc,пакет,В,metaphorical,
