,Sentence,Verb_index,Verb,Verb_lemma,Prefix,Stem,Subject,Preposition,Object,Object_case,Object_lemma,Unified_preposition,Motion_type,Unnamed: 13,Gold_standard,Unnamed: 0,Wrapped
3790,"До Жадсону були претензії в тому плані, що він мало входив у штрафний майданчик суперника.",10,входив,входити,в,ходи́ти,він,у,майданчик,Acc,майданчик,В,literal,,model,9798.0,"До Жадсону були претензії в тому плані, що він мало [TARGET] входив [/TARGET] у штрафний майданчик суперника."
3791,"До жителів, які не можуть самостійно прийти на огляд, медпрацівники виїжджатимуть додому на сучасних нових автомобіляхНовий фундамент, сучасне обладнання та професійні працівники.",6,прийти,прийти,при,іти́/йти́,,на,огляд,Acc,огляд,На,literal,,model,9800.0,"До жителів, які не можуть самостійно [TARGET] прийти [/TARGET] на огляд, медпрацівники виїжджатимуть додому на сучасних нових автомобіляхНовий фундамент, сучасне обладнання та професійні працівники."
3817,"До Ісуса підійшов багатий юнак і запитав Його, кажучи: «Учителю Благий, що зробити мені доброго, щоб мати життя вічне» (Мф. 19: 16).",2,підійшов,підійти,під,іти́/йти́,юнак,до,Ісуса,Gen,ісус,До,literal,,model,9854.0,"До Ісуса [TARGET] підійшов [/TARGET] багатий юнак і запитав Його, кажучи: «Учителю Благий, що зробити мені доброго, щоб мати життя вічне» (Мф. 19: 16)."
3835,Доїхали до інституту.,0,Доїхали,доїхати,до,ї́хати,,до,інституту,Gen,інститут,До,literal,,model,9878.0,[TARGET] Доїхали [/TARGET] до інституту.
3848,До його жінки прийшла сусідка — жінка бідняка-мердикера (наймита) посумувати разом з нею.,3,прийшла,прийти,при,іти́/йти́,сусідка,до,жінки,Gen,жінка,До,literal,,model,9897.0,До його жінки [TARGET] прийшла [/TARGET] сусідка — жінка бідняка-мердикера (наймита) посумувати разом з нею.
3870,"До Києва привезуть сім найбільш шанованих в Україні святинь – чудотворних ікон Божої Матері, – які вперше будуть одночасно перебувати в столиці.",2,привезуть,привезти,при,везти́,,до,Києва,Gen,київ,До,literal,,model,9928.0,"До Києва [TARGET] привезуть [/TARGET] сім найбільш шанованих в Україні святинь – чудотворних ікон Божої Матері, – які вперше будуть одночасно перебувати в столиці."
3871,"Доки над Шиптуром знущаються в сквері, Чернятинська таки приводить «самооборону» на орендовану квартиру.",8,приводить,приводити,при,води́ти,Чернятинська,на,квартиру,Acc,квартира,На,literal,,model,9929.0,"Доки над Шиптуром знущаються в сквері, Чернятинська таки [TARGET] приводить [/TARGET] «самооборону» на орендовану квартиру."
3918,До крамнички заходять дві дівчини.,2,заходять,заходити,за,ходи́ти,дівчини,до,крамнички,Gen,крамничка,До,literal,,model,10004.0,До крамнички [TARGET] заходять [/TARGET] дві дівчини.
3933,"До мене підійшла жінка й розказала, що там на заробітках відмовляє собі у всьому.",2,підійшла,підійти,під,іти́/йти́,жінка,до,мене,Gen,я,До,literal,,model,10058.0,"До мене [TARGET] підійшла [/TARGET] жінка й розказала, що там на заробітках відмовляє собі у всьому."
3934,"До мене підійшов дідок і, побачивши мій шустрий вигляд, забрав мене.",2,підійшов,підійти,під,іти́/йти́,дідок,до,мене,Gen,я,До,literal,,model,10059.0,"До мене [TARGET] підійшов [/TARGET] дідок і, побачивши мій шустрий вигляд, забрав мене."
3935,До мене приїздили мої друзі з Німеччини.,2,приїздили,приїздити,при,ї́здити,друзі,до,мене,Gen,я,До,literal,,model,10060.0,До мене [TARGET] приїздили [/TARGET] мої друзі з Німеччини.
3936,"До мене приїхали друзі, приходжу додому в час ночі, вона вже спить… Встане, приготує на стіл бо знає, що приїхали друзі.",2,приїхали,приїхати,при,ї́хати,друзі,на,стіл,Acc,стіл,На,literal,,model,10061.0,"До мене [TARGET] приїхали [/TARGET] друзі, приходжу додому в час ночі, вона вже спить… Встане, приготує на стіл бо знає, що приїхали друзі."
3938,"До мене приходить моя працівниця і каже: Сергій Михайлович, моя мама пропрацювала усе своє життя.",2,приходить,приходити,при,ходи́ти,працівниця,до,мене,Gen,я,До,literal,,model,10063.0,"До мене [TARGET] приходить [/TARGET] моя працівниця і каже: Сергій Михайлович, моя мама пропрацювала усе своє життя."
3939,"До мене регулярно приходять підприємці і запитують, чи має сенс взагалі інвестувати в цю країну?",3,приходять,приходити,при,ходи́ти,підприємці,до,мене,Gen,я,До,literal,,model,10064.0,"До мене регулярно [TARGET] приходять [/TARGET] підприємці і запитують, чи має сенс взагалі інвестувати в цю країну?"
3945,До місця виклику негайно виїхали рятувальники 5-ої державної пожежно-рятувальної частини міста Дрогобич.,4,виїхали,виїхати,ви,ї́хати,рятувальники,до,місця,Gen,місце,До,literal,,model,10076.0,До місця виклику негайно [TARGET] виїхали [/TARGET] рятувальники 5-ої державної пожежно-рятувальної частини міста Дрогобич.
3946,До місця виклику одразу ж виїхали рятувальники державної пожежно-рятувальної частини №1.,5,виїхали,виїхати,ви,ї́хати,рятувальники,до,місця,Gen,місце,До,literal,,model,10077.0,До місця виклику одразу ж [TARGET] виїхали [/TARGET] рятувальники державної пожежно-рятувальної частини №1.
3947,"До місця події також прибули вогнеборці 37-ї пожежно-рятувальної частини обласного центру на пожежному авто, до якого підходили учасники заходу, щоб набрати води у відра та полити новопосаджені деревця.",16,підходили,підходити,під,ходи́ти,учасники,до,якого,Gen,який,До,literal,,model,10078.0,"До місця події також прибули вогнеборці 37-ї пожежно-рятувальної частини обласного центру на пожежному авто, до якого [TARGET] підходили [/TARGET] учасники заходу, щоб набрати води у відра та полити новопосаджені деревця."
3953,"До найближчого пункту – 21 кілометр, щоб довезти від передової до лікарні.",7,довезти,довезти,до,везти́,,до,лікарні,Gen,лікарня,До,literal,,model,10091.0,"До найближчого пункту – 21 кілометр, щоб [TARGET] довезти [/TARGET] від передової до лікарні."
3955,До нас в гості приходив улюблений воротар київського клубу і пробував свої сили в приготування своєї авторської піци.,4,приходив,приходити,при,ходи́ти,воротар,в,гості,Acc,гість,В,literal,,model,10095.0,До нас в гості [TARGET] приходив [/TARGET] улюблений воротар київського клубу і пробував свої сили в приготування своєї авторської піци.
3956,"До нас вже доходить інформація про те, що на підприємства дзвонять співробітники органів фіскальної служби та «рекомендують» задекларувати певну суму.",3,доходить,доходити,до,ходи́ти,інформація,до,нас,Gen,ми,До,literal,,model,10096.0,"До нас вже [TARGET] доходить [/TARGET] інформація про те, що на підприємства дзвонять співробітники органів фіскальної служби та «рекомендують» задекларувати певну суму."
3957,"До населеного пункту крадії приїхали свідомо та ходили сільськими вулицями, підшукуючи найбільш заможну, на їх погляд, оселю.",4,приїхали,приїхати,при,ї́хати,крадії,до,пункту,Gen,пункт,До,literal,,model,10097.0,"До населеного пункту крадії [TARGET] приїхали [/TARGET] свідомо та ходили сільськими вулицями, підшукуючи найбільш заможну, на їх погляд, оселю."
3958,"До нас заходив Арсен Мірзоян, письменниця Надійка Гербіш спершу подарувала збірку своїх «теплих» історій, а потім стала нашим постійним відвідувачем і другом.",2,заходив,заходити,за,ходи́ти,Арсен,до,нас,Gen,ми,До,literal,,model,10098.0,"До нас [TARGET] заходив [/TARGET] Арсен Мірзоян, письменниця Надійка Гербіш спершу подарувала збірку своїх «теплих» історій, а потім стала нашим постійним відвідувачем і другом."
3959,«До нас із чоловіком прийшли перевіряльники й пригрозили відключити світло.,4,прийшли,прийти,при,іти́/йти́,перевіряльники,до,нас,Gen,ми,До,literal,,model,10099.0,«До нас із чоловіком [TARGET] прийшли [/TARGET] перевіряльники й пригрозили відключити світло.
3960,"До нас на практику щороку приходять десятки студентів, які самі можуть брати камери і працювати з ними, а не тільки спостерігати за цим, як на великих телеканалах.",5,приходять,приходити,при,ходи́ти,десятки,на,практику,Acc,практика,На,literal,,model,10103.0,"До нас на практику щороку [TARGET] приходять [/TARGET] десятки студентів, які самі можуть брати камери і працювати з ними, а не тільки спостерігати за цим, як на великих телеканалах."
3961,До нас підходить худорлявий дідусь із сивими вусами та ледь помітним шрамом на чолі.,2,підходить,підходити,під,ходи́ти,дідусь,до,нас,Gen,ми,До,literal,,model,10104.0,До нас [TARGET] підходить [/TARGET] худорлявий дідусь із сивими вусами та ледь помітним шрамом на чолі.
3962,"До нас приїде двісті людей із цілого світу, які формують громадську думку у своїх країнах, які впливають на інших мислячих людей.",2,приїде,приїхати,при,ї́хати,людей,до,нас,Gen,ми,До,literal,,model,10105.0,"До нас [TARGET] приїде [/TARGET] двісті людей із цілого світу, які формують громадську думку у своїх країнах, які впливають на інших мислячих людей."
3963,"До нас приїхали 31 колектив із 27 міст України. Найвіддаленіше з них знаходиться за 500 км від Умані, - додає співорганізатор, директор агенції «Умань концерт» Софія Чорномаз.",2,приїхали,приїхати,при,ї́хати,колектив,до,нас,Gen,ми,До,literal,,model,10106.0,"До нас [TARGET] приїхали [/TARGET] 31 колектив із 27 міст України. Найвіддаленіше з них знаходиться за 500 км від Умані, - додає співорганізатор, директор агенції «Умань концерт» Софія Чорномаз."
3964,До нас приїхали в гості замміністра та командир бригади на цьому автомобілі.,2,приїхали,приїхати,при,ї́хати,,в,гості,Acc,гість,В,literal,,model,10107.0,До нас [TARGET] приїхали [/TARGET] в гості замміністра та командир бригади на цьому автомобілі.
3965,"До нас приїхало багато людей, подію показали всі телеканали, про неї написали всі газети.",2,приїхало,приїхати,при,ї́хати,людей,до,нас,Gen,ми,До,literal,,model,10108.0,"До нас [TARGET] приїхало [/TARGET] багато людей, подію показали всі телеканали, про неї написали всі газети."
3966,До нас прийшли декілька молодих викладачів.,2,прийшли,прийти,при,іти́/йти́,викладачів,до,нас,Gen,ми,До,literal,,model,10109.0,До нас [TARGET] прийшли [/TARGET] декілька молодих викладачів.
3967,"До нас приходять заступники міністра, які виконують технічну функцію – відповідати на наші запитання, надавати необхідну інформацію.",2,приходять,приходити,при,ходи́ти,заступники,до,нас,Gen,ми,До,literal,,model,10110.0,"До нас [TARGET] приходять [/TARGET] заступники міністра, які виконують технічну функцію – відповідати на наші запитання, надавати необхідну інформацію."
3969,"Дон Дієго схилив голову на груди і замислений підійшов до вікон, що виходили на корму.",8,підійшов,підійти,під,іти́/йти́,,до,вікон,Gen,вікно,До,literal,,model,10118.0,"Дон Дієго схилив голову на груди і замислений [TARGET] підійшов [/TARGET] до вікон, що виходили на корму."
3992,"До неї приходили паломники на прощі, щоб спокутувати гріхи і отримати як духовне, так і фізичне здоров'я.",2,приходили,приходити,при,ходи́ти,паломники,до,неї,Gen,вона,До,literal,,model,10151.0,"До неї [TARGET] приходили [/TARGET] паломники на прощі, щоб спокутувати гріхи і отримати як духовне, так і фізичне здоров'я."
4010,"Донесли ноші близько 1,5 км стежкою до місця, куди змогла під'їхати машина, що й забрала постраждальця.",0,Донесли,донести,до,нести́,,до,місця,Gen,місце,До,literal,,model,10172.0,"[TARGET] Донесли [/TARGET] ноші близько 1,5 км стежкою до місця, куди змогла під'їхати машина, що й забрала постраждальця."
4012,"До них вже виїхала наша група механіків, але роботи буде багато, як і запчастин.",3,виїхала,виїхати,ви,ї́хати,група,до,них,Gen,вони,До,literal,,model,10178.0,"До них вже [TARGET] виїхала [/TARGET] наша група механіків, але роботи буде багато, як і запчастин."
4020,До них все рідше приходять свідки тих боїв.,4,приходять,приходити,при,ходи́ти,свідки,до,них,Gen,вони,До,literal,,model,10188.0,До них все рідше [TARGET] приходять [/TARGET] свідки тих боїв.
4021,"До них люди приносять утиль, а ми його потім забираємо.",3,приносять,приносити,при,носи́ти,люди,до,них,Gen,вони,До,literal,,model,10189.0,"До них люди [TARGET] приносять [/TARGET] утиль, а ми його потім забираємо."
4027,До них приїздили литовські та великоросійські купці й вели з ними безмитну торгівлю; вони не мали права тільки привозити горілку та тютюн.,2,приїздили,приїздити,при,ї́здити,купці,до,них,Gen,вони,До,literal,,model,10196.0,До них [TARGET] приїздили [/TARGET] литовські та великоросійські купці й вели з ними безмитну торгівлю; вони не мали права тільки привозити горілку та тютюн.
4034,"До Норми в храм приходить її подруга Клотильда та приносить погану звістку: молодій жриці не вдалося вмовити Полліона, який поклявся викрасти Адальжізу із храму.",4,приходить,приходити,при,ходи́ти,подруга,в,храм,Acc,храм,В,literal,,model,10206.0,"До Норми в храм [TARGET] приходить [/TARGET] її подруга Клотильда та приносить погану звістку: молодій жриці не вдалося вмовити Полліона, який поклявся викрасти Адальжізу із храму."
4044,"«До нього й далі приїздять люди, як і за життя, — владика Іоасаф.",4,приїздять,приїздити,при,ї́здити,люди,до,нього,Gen,він,До,literal,,model,10219.0,"«До нього й далі [TARGET] приїздять [/TARGET] люди, як і за життя, — владика Іоасаф."
4046,До нього підбіг пес.,2,підбіг,підбігти,під,бíгти,пес,до,нього,Gen,він,До,literal,,model,10224.0,До нього [TARGET] підбіг [/TARGET] пес.
4047,"До нього підійшла дівчина-служниця й запитала, чи йому не сподобався обід.",2,підійшла,підійти,під,іти́/йти́,дівчина,до,нього,Gen,він,До,literal,,model,10225.0,"До нього [TARGET] підійшла [/TARGET] дівчина-служниця й запитала, чи йому не сподобався обід."
4048,До нього підійшов один з рудих і щось сказав.,2,підійшов,підійти,під,іти́/йти́,один,до,нього,Gen,він,До,literal,,model,10226.0,До нього [TARGET] підійшов [/TARGET] один з рудих і щось сказав.
4049,До нього приходили посли від Пани Римського.,2,приходили,приходити,при,ходи́ти,посли,до,нього,Gen,він,До,literal,,model,10227.0,До нього [TARGET] приходили [/TARGET] посли від Пани Римського.
4062,"До обов'язків чергового входило відкривати запломбовані зали експозиції, приймати замовлення на екскурсії, забезпечувати екскурсії екскурсоводом.",3,входило,входити,в,ходи́ти,,до,обов'язків,Gen,обов’язок,До,literal,,model,10242.0,"До обов'язків чергового [TARGET] входило [/TARGET] відкривати запломбовані зали експозиції, приймати замовлення на екскурсії, забезпечувати екскурсії екскурсоводом."
4066,"До одного з найбільших забудовників столиці – компанії ІнтегралБУД – прийшли представники Держпраці, профспілковці та громадські активісти для контролю умов праці та легальності найму.",10,прийшли,прийти,при,іти́/йти́,представники,до,одного,Gen,один,До,literal,,model,10249.0,"До одного з найбільших забудовників столиці – компанії ІнтегралБУД – [TARGET] прийшли [/TARGET] представники Держпраці, профспілковці та громадські активісти для контролю умов праці та легальності найму."
4079,До певної успішності я би відніс агітаційну кампанію кандидатів у народні депутати – «від хати до хати».,5,відніс,віднести,від,нести́,я,до,успішності,Gen,успішність,До,literal,,model,10278.0,До певної успішності я би [TARGET] відніс [/TARGET] агітаційну кампанію кандидатів у народні депутати – «від хати до хати».
4116,До Полтави приїхав фотопроект «Ветерани» / Cтатті / «Полтавський вісник».,2,приїхав,приїхати,при,ї́хати,фотопроект,до,Полтави,Gen,полтава,До,literal,,model,10343.0,До Полтави [TARGET] приїхав [/TARGET] фотопроект «Ветерани» / Cтатті / «Полтавський вісник».
4117,"До Полтави приїхали дослідники й шанувальники спадщини митця з усієї України (Київ, Черкаси, Кропивницький, Херсон, Одеса, Київська обл., Черкаська обл., Закарпатська обл., Миколаївська обл. та ін.).",2,приїхали,приїхати,при,ї́хати,дослідники,до,Полтави,Gen,полтава,До,literal,,model,10344.0,"До Полтави [TARGET] приїхали [/TARGET] дослідники й шанувальники спадщини митця з усієї України (Київ, Черкаси, Кропивницький, Херсон, Одеса, Київська обл., Черкаська обл., Закарпатська обл., Миколаївська обл. та ін.)."
4118,"До полювання зазвичай не відносять вбивство худоби, домашніх тварин або тварин, що тримаються в неволі, рівно як і рибальство та використання пасток.""",4,відносять,відносити,від,носи́ти,,до,полювання,Gen,полювання,До,literal,,model,10346.0,"До полювання зазвичай не [TARGET] відносять [/TARGET] вбивство худоби, домашніх тварин або тварин, що тримаються в неволі, рівно як і рибальство та використання пасток."""
4119,"Допоміг йому в цьому Піскун, який вийшов на ворота, а потім віддав пас на свободного партнера – 5:2.",6,вийшов,вийти,ви,іти́/йти́,який,на,ворота,Acc,ворота,На,literal,,model,10348.0,"Допоміг йому в цьому Піскун, який [TARGET] вийшов [/TARGET] на ворота, а потім віддав пас на свободного партнера – 5:2."
4122,"Допомогу Польщі надала Антанта і Червона армія вимушена була відійти на схід, а між Польщею і РР було підписано перемир’я.",9,відійти,відійти,від,іти́/йти́,,на,схід,Acc,схід,На,literal,,model,10355.0,"Допомогу Польщі надала Антанта і Червона армія вимушена була [TARGET] відійти [/TARGET] на схід, а між Польщею і РР було підписано перемир’я."
4132,"До послуг Холмса, судячі з книг, прибігали уряд Франції та королівські династії Скандинавії.",6,прибігали,прибігати,при,бíгати,уряд,до,послуг,Gen,послуга,До,literal,,model,10373.0,"До послуг Холмса, судячі з книг, [TARGET] прибігали [/TARGET] уряд Франції та королівські династії Скандинавії."
4136,До початку роботи народних обранців у сесійний зал зайшли делегації малокомплектних сільських шкіл та представники «Самооборони майдану» з Києва.,8,зайшли,зайти,за,іти́/йти́,делегації,у,зал,Acc,зал,В,literal,,model,10380.0,До початку роботи народних обранців у сесійний зал [TARGET] зайшли [/TARGET] делегації малокомплектних сільських шкіл та представники «Самооборони майдану» з Києва.
4143,"«До прикладу, відомі випадки, коли козаки, повертаючись після походів, приходили в село і займалися його відродженням.",9,приходили,приходити,при,ходи́ти,козаки,в,село,Acc,село,В,literal,,model,10389.0,"«До прикладу, відомі випадки, коли козаки, повертаючись після походів, [TARGET] приходили [/TARGET] в село і займалися його відродженням."
4164,"До редакції ІА ""Конкурент"" Василь Столяр прийшов значно раніше домовленого часу.",6,прийшов,прийти,при,іти́/йти́,Василь,до,редакції,Gen,редакція,До,literal,,model,10432.0,"До редакції ІА ""Конкурент"" Василь Столяр [TARGET] прийшов [/TARGET] значно раніше домовленого часу."
4167,"До речі, боковий вхід закритий, а от головний – завжди відчинений, через нього і варто заходити до музею.",15,заходити,заходити,за,ходи́ти,,до,музею,Gen,музей,До,literal,,model,10440.0,"До речі, боковий вхід закритий, а от головний – завжди відчинений, через нього і варто [TARGET] заходити [/TARGET] до музею."
4168,"До речі, в родину Мєшкових за «обміном мамами» приїде інша жінка, яка на якийсь час спробує стати сватівчанкою.",8,приїде,приїхати,при,ї́хати,жінка,в,родину,Acc,родина,В,literal,,model,10445.0,"До речі, в родину Мєшкових за «обміном мамами» [TARGET] приїде [/TARGET] інша жінка, яка на якийсь час спробує стати сватівчанкою."
4173,"До речі, на Форум могли прийти всі охочі.",5,прийти,прийти,при,іти́/йти́,,на,Форум,Acc,форум,На,literal,,model,10464.0,"До речі, на Форум могли [TARGET] прийти [/TARGET] всі охочі."
4180,"До Рівного Сергій Притула знову привезе ""Вар'яти шоу""",5,привезе,привезти,при,везти́,Сергій,до,Рівного,Gen,рівне,До,literal,,model,10491.0,"До Рівного Сергій Притула знову [TARGET] привезе [/TARGET] ""Вар'яти шоу"""
4184,"Дорога до нашого краю пролягає через степи, збігає в долини, сірою стрічкою здіймається на пагорби.",7,збігає,збігати,з,бíгати,,в,долини,Acc,долина,В,literal,,model,10498.0,"Дорога до нашого краю пролягає через степи, [TARGET] збігає [/TARGET] в долини, сірою стрічкою здіймається на пагорби."
4186,До родини виїхали патрульні.,2,виїхали,виїхати,ви,ї́хати,патрульні,до,родини,Gen,родина,До,literal,,model,10508.0,До родини [TARGET] виїхали [/TARGET] патрульні.
4189,"Доросла людина під час ходьби автоматично перебирає одну ногу за одною і про це не замислюється, а просто ставити собі завдання підійти до якогось об'єкту або прийти в будь-яке місце.",21,підійти,підійти,під,іти́/йти́,,до,об'єкту,Gen,об’єкт,До,literal,,model,10512.0,"Доросла людина під час ходьби автоматично перебирає одну ногу за одною і про це не замислюється, а просто ставити собі завдання [TARGET] підійти [/TARGET] до якогось об'єкту або прийти в будь-яке місце."
4190,"Дорослі, навчайте дітей особистої гігієни і попередження туберкульозу, не забувайте 1 раз у рік завести дитину у прищеплювальний кабінет своєї поліклініки, щоб зробити пробу Манту.",14,завести,завести,за,вести́,,у,кабінет,Acc,кабінет,В,literal,,model,10515.0,"Дорослі, навчайте дітей особистої гігієни і попередження туберкульозу, не забувайте 1 раз у рік [TARGET] завести [/TARGET] дитину у прищеплювальний кабінет своєї поліклініки, щоб зробити пробу Манту."
4192,"Дорошенко, ставши генералом козаків, підняв їх на заколот, закликав турків на Україну й, погубивши цю провінцію, приніс цю згубу на Поділля та до Кам’янця, його столиці.",16,приніс,принести,при,нести́,,на,Поділля,Acc,поділля,На,literal,,model,10518.0,"Дорошенко, ставши генералом козаків, підняв їх на заколот, закликав турків на Україну й, погубивши цю провінцію, [TARGET] приніс [/TARGET] цю згубу на Поділля та до Кам’янця, його столиці."
4198,"До святково прикрашенного залу входять діти з батьками, утворюючи півколо.",4,входять,входити,в,ходи́ти,діти,до,залу,Gen,зал,До,literal,,model,10537.0,"До святково прикрашенного залу [TARGET] входять [/TARGET] діти з батьками, утворюючи півколо."
4200,"До села вже не виходить, тільки веземо її щоразу до сповіді до церкви — хоче хоча б кілька метрів зайти своїми ногами до храму.",19,зайти,зайти,за,іти́/йти́,,до,храму,Gen,храм,До,literal,,model,10541.0,"До села вже не виходить, тільки веземо її щоразу до сповіді до церкви — хоче хоча б кілька метрів [TARGET] зайти [/TARGET] своїми ногами до храму."
4205,"До сесійної зали прийшли близько 30 активістів Бородянки, які відстоюють право людей на чисте повітря.",3,прийшли,прийти,при,іти́/йти́,активістів,до,зали,Gen,зала,До,literal,,model,10549.0,"До сесійної зали [TARGET] прийшли [/TARGET] близько 30 активістів Бородянки, які відстоюють право людей на чисте повітря."
4210,"Досить сидіти їм на шиях власників транспортних засобів, які за власні кошти та власними силами ремонтують, заправляють купують запчастини та ще й за це платять по 200 грн в день за надання права виїхати на маршрут.",33,виїхати,виїхати,ви,ї́хати,,на,маршрут,Acc,маршрут,На,literal,,model,10566.0,"Досить сидіти їм на шиях власників транспортних засобів, які за власні кошти та власними силами ремонтують, заправляють купують запчастини та ще й за це платять по 200 грн в день за надання права [TARGET] виїхати [/TARGET] на маршрут."
4211,Досить яскравим індикатором реального ставлення до своєї країни є готовність виїхати на постійне місце проживання за кордон.,10,виїхати,виїхати,ви,ї́хати,,на,місце,Acc,місце,На,literal,,model,10571.0,Досить яскравим індикатором реального ставлення до своєї країни є готовність [TARGET] виїхати [/TARGET] на постійне місце проживання за кордон.
4214,"Досі на ці пагорби приходять кияни святкувати Трійцю й Купала, знову там звучать, як і колись, веснянки, а на великий хрест, поставлений приблизно там, де за легендою стояв зведений апостолом Андрієм, молодь за традицією пов’язує пам’ятні хустки.",4,приходять,приходити,при,ходи́ти,кияни,на,пагорби,Acc,пагорб,На,literal,,model,10574.0,"Досі на ці пагорби [TARGET] приходять [/TARGET] кияни святкувати Трійцю й Купала, знову там звучать, як і колись, веснянки, а на великий хрест, поставлений приблизно там, де за легендою стояв зведений апостолом Андрієм, молодь за традицією пов’язує пам’ятні хустки."
4288,"До складу комісії увійшли й місцеві лікарі, що не змогли евакуюватися.",3,увійшли,увійти,в,іти́/йти́,лікарі,до,складу,Gen,склад,До,literal,,model,10669.0,"До складу комісії [TARGET] увійшли [/TARGET] й місцеві лікарі, що не змогли евакуюватися."
4421,"До таких документів можна віднести довідку з місця роботи, довідку з місця навчання, документ, який підтверджує право власності або оренди на житло, яке знаходиться за місцем, де виборець хоче проголосувати, проїзні документи, путівка в санаторій, тощо.",4,віднести,віднести,від,нести́,,до,документів,Gen,документ,До,literal,,model,10871.0,"До таких документів можна [TARGET] віднести [/TARGET] довідку з місця роботи, довідку з місця навчання, документ, який підтверджує право власності або оренди на житло, яке знаходиться за місцем, де виборець хоче проголосувати, проїзні документи, путівка в санаторій, тощо."
4445,"До того ж вони стверджують, що люди вийшли в підтримку трьох питань ""Великої політичної реформи"".",7,вийшли,вийти,ви,іти́/йти́,люди,в,підтримку,Acc,підтримка,В,literal,,model,10918.0,"До того ж вони стверджують, що люди [TARGET] вийшли [/TARGET] в підтримку трьох питань ""Великої політичної реформи""."
4470,До ув’язненого в РФ українського журналіста Романа Сущенка на триденне побачення приїхали дружина і дочка.,11,приїхали,приїхати,при,ї́хати,дружина,на,побачення,Acc,побачення,На,literal,,model,10973.0,До ув’язненого в РФ українського журналіста Романа Сущенка на триденне побачення [TARGET] приїхали [/TARGET] дружина і дочка.
4471,До України вперше завезли ровесників мамонтів - зубрів.,3,завезли,завезти,за,везти́,,до,України,Gen,україна,До,literal,,model,10974.0,До України вперше [TARGET] завезли [/TARGET] ровесників мамонтів - зубрів.
4476,"До учасників пікету, представників ЗМІ вийшов суддя спікер Ковпаківського суду Владислав КОСТЕНКО.",5,вийшов,вийти,ви,іти́/йти́,суддя,до,учасників,Gen,учасник,До,literal,,model,10982.0,"До учасників пікету, представників ЗМІ [TARGET] вийшов [/TARGET] суддя спікер Ковпаківського суду Владислав КОСТЕНКО."
4477,До учнів приїхали керівник відділу профорієнтаційної та комунікаційної роботи Роман Янович та провідний фахівець відділу Ігор Єсип.,2,приїхали,приїхати,при,ї́хати,керівник,до,учнів,Gen,учень,До,literal,,model,10985.0,До учнів [TARGET] приїхали [/TARGET] керівник відділу профорієнтаційної та комунікаційної роботи Роман Янович та провідний фахівець відділу Ігор Єсип.
4478,"До учнів у гості прийшли навіть Буквар та Математика аби їх привітати, а Зошит та Лінійка нагадали, що шкільне приладдя потрібно берегти.",4,прийшли,прийти,при,іти́/йти́,Буквар,у,гості,Acc,гість,В,literal,,model,10986.0,"До учнів у гості [TARGET] прийшли [/TARGET] навіть Буквар та Математика аби їх привітати, а Зошит та Лінійка нагадали, що шкільне приладдя потрібно берегти."
4484,До фінішу одночасно прийшли дві команди.,3,прийшли,прийти,при,іти́/йти́,команди,до,фінішу,Gen,фініш,До,literal,,model,10998.0,До фінішу одночасно [TARGET] прийшли [/TARGET] дві команди.
4493,"До хати зайшли енкаведисти, схопили нас із мамою Івасюк Катериною Йосифівною (1914-1980) і заштовхали до машини, навіть хліба з собою взяти не дозволили.",2,зайшли,зайти,за,іти́/йти́,енкаведисти,до,хати,Gen,хата,До,literal,,model,11011.0,"До хати [TARGET] зайшли [/TARGET] енкаведисти, схопили нас із мамою Івасюк Катериною Йосифівною (1914-1980) і заштовхали до машини, навіть хліба з собою взяти не дозволили."
4494,"До хати зайшов лиш тоді, як громіздка постать дядька Гната пропливла повз освітлене вікно й зіллялася з густими тінями бузку понад дорогу.",2,зайшов,зайти,за,іти́/йти́,,до,хати,Gen,хата,До,literal,,model,11012.0,"До хати [TARGET] зайшов [/TARGET] лиш тоді, як громіздка постать дядька Гната пропливла повз освітлене вікно й зіллялася з густими тінями бузку понад дорогу."
